Samples	Lat	Lon	Elev	MAT	MAP	Clay	Silt	Sand	pH	SOC	TN	CN	SWC
iSBio102	50.15386	9.00206	113.25	11.59581947	635.3250122	28.7	48	23.1	5.143460532	2.970921	0.28804	10.31426538	21.42958849
iSBio104	50.17362	9.0637	117.5	11.52500343	678.3199768	29.6	47.8	22	5.474520539	4.225644	0.407689	10.36487126	23.26963907
iSBio107	50.18285	9.08464	131	11.43749428	686.4049988	28.55	47.65	24	4.053460532	2.714603	0.233004	11.65045664	23.77224199
iSBio108	50.18303	9.08421	131	11.43749428	686.4049988	28.5	48.25	23.5	4.053460532	2.714603	0.233004	11.65045664	20.79067122
iSBio113	58.6508333	26.76	50.5	6.549996853	351.1400146	12.85	36.3	51	4	0.675	0.0305	22.13114754	26.0938743
iSBio118	58.275	26.4602778	65.5	6.533349514	481.9000092	10.5	28.6	60.9	4.757320953	2.555286	0.169061	15.11457994	16.65844433
iSBio119	59.5616667	26.0461111	51.5	6.416680813	307.2000046	0.732294873	1.956238701	97.31146643	3.398620162	1.992638	0.044592	44.68599749	3.914988814
iSBio121	59.5783333	26.1325	23.25	6.545846462	289.3050003	0.539624533	0.930698666	98.5296768	2.947426498	11.847664	0.29989	39.50669912	18.97122064
iSBio122	59.5783333	26.1325	23.25	6.545846462	289.3050003	0.539624533	0.930698666	98.5296768	2.947426498	11.847664	0.29989	39.50669912	14.28099719
iSBio127	58.3066667	27.3322222	35.5	6.783334255	485.5150146	16.25	35.45	48.6	2.252649702	50.425934	1.258845	40.05730173	76.20354203
iSBio132	61.05333333	25.04194444	127.25	5.229165554	645.8300171	23.75	38.6	40.15	4.42	5.913256	0.378647	15.61680404	16.8401917
iSBio134	49.002436	-1.1816667	124	11.76250648	871.8599854	19.75	60.2	20.3	4.6	34.03	1.76	19.33522727	87.31476958
iSBio136	48.7513889	6.3383333	249	11.53333473	754.2149963	24.85	66.25	8.9	4.55	2.485	0.09	27.61111111	11.32210166
iSBio138	48.7394444	6.3222222	226.5	11.71250343	758.019989	54.96666667	39.8	5.233333333	6.2	2.733333333	0.116666667	23.42857143	18.75177305
iSBio140	48.6255556	6.2083333	230.25	11.70833778	740.0499878	34	31.1	34.9	6.9	6.3	0.37	17.02702703	13.91254969
iSBio158	44.7455556	6.9988889	1916.75	4.704171658	1451.084961	22.4	39.35	38.5	5.241275849	5.345954	0.292894	18.25217997	2.494205938
iSBio160	44.7091667	7.0533333	2586.25	-1.224996924	1758.685059	16.3	44.25	39.7	4.281004281	1.567282	0.138502	11.31595212	0.473985891
iSBio164	43.37094444	1.671	207	14.15418434	750.355011	26.2	43.2	30.75	5.507824751	3.85858	0.293311	13.15525159	18.90278567
iSBio166	52.83944444	10.26638889	116.5	10.08750343	741.4550018	4.2	11.8	84	3.295029282	2.005996	0.083564	24.00550476	4.331101296
iSBio168	51.86	10.4175	637	7.529168606	1054.625	19.22333333	53.43333333	27.34333333	2.781669007	3.595597	0.209813	17.1371507	19.52099264
iSBio170	51.85472222	10.4125	625	7.345849514	1104.679993	20.81	57.22	21.97	3.092415126	4.732585355	0.234331425	20.19611905	20.72553837
iSBio178	51.52833333	10.04666667	408.25	8.912500381	834.6199646	59.63333333	39.7	0.666666667	6.451212916	8.843083205	0.586325192	15.08221602	26.26681935
